latitude,longitude,depth,datetime,magnitude,event_id
36.12,141.79,34,2011-03-22T12:04:08,5.66,20110322_120408.a
36.83,143.29,12,2011-03-22T12:01:26,5.56,20110322_120126.a
39.9,143.34,26,2011-03-22T11:21:42,5.6,20110322_112142.a
39.84,143.81,13,2011-03-22T09:44:35,6.32,20110322_094435.a
37.38,141.78,30,2011-03-22T09:19:09,6.21,20110322_091909.a
37.11,144.0,12,2011-03-22T07:18:51,6.41,20110322_071851.a
35.18,140.99,18,2011-03-22T03:38:37,5.67,20110322_033837.a
39.39,142.14,51,2011-03-20T12:03:49,5.81,20110320_120349.a
19.16,120.99,50,2011-03-20T08:26:11,5.96,20110320_082611.a
37.73,141.67,49,2011-03-20T05:55:31,5.55,20110320_055531.a
36.86,140.48,12,2011-03-19T09:56:51,5.83,20110319_095651.a
39.67,143.29,22,2011-03-19T01:22:47,5.87,20110319_012247.a
39.24,142.36,25,2011-03-18T23:33:01,5.59,20110318_233301.a
36.8,141.42,40,2011-03-17T12:54:54,5.79,20110317_125454.a
35.58,140.89,29,2011-03-17T12:32:05,5.55,20110317_123205.a
-17.34,167.69,30,2011-03-17T08:03:06,5.88,20110317_080306.a
37.79,143.46,12,2011-03-17T06:12:43,5.57,20110317_061243.a
40.17,142.55,41,2011-03-17T04:14:02,6.12,20110317_041402.a
-17.32,167.64,22,2011-03-17T02:48:06,6.21,20110317_024806.a
39.87,142.33,48,2011-03-16T06:29:06,5.77,20110316_062906.a
35.78,140.83,12,2011-03-16T03:52:05,5.82,20110316_035205.a
35.17,141.16,22,2011-03-15T20:30:01,5.61,20110315_203001.a
40.36,143.5,23,2011-03-15T15:23:58,6.01,20110315_152358.a
35.27,138.58,19,2011-03-15T13:31:52,5.96,20110315_133152.a
37.67,142.13,28,2011-03-15T13:28:01,6.08,20110315_132801.a
37.44,142.29,12,2011-03-15T09:49:54,5.82,20110315_094954.a
37.23,142.42,16,2011-03-14T17:59:43,5.67,20110314_175943.a
37.77,142.62,20,2011-03-14T06:12:39,6.01,20110314_061239.a
36.43,141.08,12,2011-03-14T01:02:41,5.69,20110314_010241.a
35.28,141.3,15,2011-03-13T17:55:28,5.64,20110313_175528.a
37.42,142.34,15,2011-03-13T11:37:32,5.82,20110313_113732.a
38.9,142.2,50,2011-03-13T09:52:33,5.59,20110313_095233.a
39.6,143.55,22,2011-03-13T07:56:46,5.67,20110313_075646.a
36.35,142.24,12,2011-03-13T02:23:41,5.76,20110313_022341.a
35.74,141.81,12,2011-03-13T01:26:09,6.17,20110313_012609.a
38.07,141.94,23,2011-03-12T23:24:51,5.76,20110312_232451.a
37.56,141.99,15,2011-03-12T22:12:50,5.89,20110312_221250.a
36.47,142.94,12,2011-03-12T17:19:26,5.58,20110312_171926.a
39.52,142.52,15,2011-03-12T14:43:11,5.78,20110312_144311.a
38.76,142.72,26,2011-03-12T14:03:31,5.56,20110312_140331.a
25.27,-109.97,21,2011-03-12T13:26:02,5.58,20110312_132602.a
37.23,141.53,46,2011-03-12T13:15:44,6.17,20110312_131544.a
37.71,143.6,21,2011-03-12T12:53:52,5.92,20110312_125352.a
39.04,142.28,36,2011-03-12T10:53:32,5.69,20110312_105332.a
-3.65,151.38,16,2011-03-12T09:51:39,5.56,20110312_095139.a
40.07,143.52,29,2011-03-12T04:53:00,5.74,20110312_045300.a
36.03,141.54,35,2011-03-12T03:12:01,5.9,20110312_031201.a
37.63,143.71,15,2011-03-12T02:47:37,5.86,20110312_024737.a
37.57,142.84,14,2011-03-12T01:47:20,6.49,20110312_014720.a
38.81,142.85,20,2011-03-12T01:34:11,5.76,20110312_013411.a
-16.79,-172.77,32,2011-03-12T01:19:12,5.92,20110312_011912.a
38.98,142.68,12,2011-03-11T20:11:27,6.11,20110311_201127.a
40.37,139.09,14,2011-03-11T19:46:53,6.2,20110311_194653.a
39.43,143.01,30,2011-03-11T19:03:00,6.24,20110311_190300.a
37.06,138.6,12,2011-03-11T18:59:21,6.3,20110311_185921.a
38.27,144.63,21,2011-03-11T06:26:12,7.59,20110311_062612.a
35.92,141.38,29,2011-03-11T06:15:58,7.89,20110311_061558.a
37.52,143.05,20,2011-03-11T05:47:32,9.08,20110311_054732.a
-53.27,-118.18,16,2011-03-11T00:14:54,5.67,20110311_001454.a
38.53,143.61,17,2011-03-10T08:08:23,5.66,20110310_080823.a
-6.26,149.75,51,2011-03-09T21:24:56,6.33,20110309_212456.a
38.27,142.82,23,2011-03-09T21:24:09,6.46,20110309_212409.a
38.29,142.91,22,2011-03-09T21:22:19,5.96,20110309_212219.a
38.47,143.5,18,2011-03-09T18:44:40,5.89,20110309_184440.a
38.33,142.8,29,2011-03-09T18:16:18,6.07,20110309_181618.a
38.56,142.78,14,2011-03-09T02:45:32,7.33,20110309_024532.a
-10.54,160.69,35,2011-03-07T00:09:42,6.39,20110307_000942.a
-56.41,-26.68,101,2011-03-06T14:32:42,6.54,20110306_143242.a
-9.03,157.29,14,2011-03-04T04:07:51,5.58,20110304_040751.a
8.64,-76.82,40,2011-03-02T18:50:52,5.77,20110302_185052.a
-29.68,-112.26,20,2011-03-01T00:53:51,6.05,20110301_005351.a
-29.65,-112.28,18,2011-02-28T23:42:21,5.54,20110228_234221.a
-59.3,-17.16,16,2011-02-28T11:04:21,5.59,20110228_110421.a
34.73,25.56,33,2011-02-28T07:49:08,5.7,20110228_074908.a
-37.46,-73.69,25,2011-02-28T01:29:29,5.81,20110228_012929.a
-10.58,164.78,59,2011-02-26T02:10:28,5.91,20110226_021028.a
12.3,-88.08,51,2011-02-23T03:01:39,5.63,20110223_030139.a
-43.5,172.55,12,2011-02-22T01:50:33,5.59,20110222_015033.a
-43.5,172.56,12,2011-02-22T00:04:23,5.51,20110222_000423.a
-43.6,172.52,12,2011-02-21T23:51:47,6.11,20110221_235147.a
-27.22,-64.8,24,2011-02-21T06:58:42,5.56,20110221_065842.a
